,phase,sim_time,real_time,sim_en,real_en
181,"[(3401000.0, 3.0), (800000.0, 2.0)]",2.9997246265411377,1.83,26.861361004183287,32.590615
182,"[(3401000.0, 3.0), (800000.0, 3.0)]",4.060418605804443,3.476,23.924308076834677,27.103996000000002
183,"[(3401000.0, 3.0), (800000.0, 4.0)]",3.150946617126465,3.027,23.18848175701618,25.98321
184,"[(3401000.0, 3.0), (600000.0, 1.0)]",4.34613561630249,2.293,28.158084078223702,32.910865
185,"[(3401000.0, 3.0), (600000.0, 2.0)]",3.250272274017334,2.017,27.00849414992571,32.271218
186,"[(3401000.0, 3.0), (600000.0, 3.0)]",3.880391836166382,2.682,26.202456313810348,22.741702
187,"[(3401000.0, 3.0), (600000.0, 4.0)]",3.285052537918091,3.058,23.731030550446512,26.482597
188,"[(3401000.0, 3.0), (400000.0, 1.0)]",4.306659460067749,2.2590000000000003,28.127043139154907,32.75126
189,"[(3401000.0, 3.0), (400000.0, 2.0)]",3.013782262802124,1.8559999999999999,27.03172541586399,29.156969
190,"[(3401000.0, 3.0), (400000.0, 3.0)]",3.9428551197052,3.1900000000000004,24.88166959357023,25.177427
191,"[(3401000.0, 3.0), (400000.0, 4.0)]",3.141343593597412,3.0730000000000004,23.526941441214085,26.580072
192,"[(3401000.0, 4.0), (3401000.0, 1.0)]",2.3901407718658447,2.165,37.26290369685173,31.646282
193,"[(3401000.0, 4.0), (3401000.0, 2.0)]",1.8046250343322754,1.702,35.14714580803633,30.351729000000002
194,"[(3401000.0, 4.0), (3401000.0, 3.0)]",1.9967529773712158,1.776,35.08145327383757,32.634254999999996
195,"[(3401000.0, 4.0), (3401000.0, 4.0)]",1.8043780326843262,1.762,31.949012055985925,31.121747
196,"[(3401000.0, 4.0), (3400000.0, 1.0)]",2.7499797344207764,2.198,31.24654057256937,32.193521000000004
197,"[(3401000.0, 4.0), (3400000.0, 2.0)]",1.9847288131713867,1.629,30.637198524723054,29.571884000000004
198,"[(3401000.0, 4.0), (3400000.0, 3.0)]",2.2920761108398438,1.766,31.52682349738121,32.638222
199,"[(3401000.0, 4.0), (3400000.0, 4.0)]",1.8986434936523438,1.7650000000000001,30.1263045039463,27.949756999999998
200,"[(3401000.0, 4.0), (3300000.0, 1.0)]",2.6003806591033936,2.2030000000000003,31.11434752147436,32.758156
201,"[(3401000.0, 4.0), (3300000.0, 2.0)]",1.9858360290527344,1.737,30.335582334177495,30.067915999999997
202,"[(3401000.0, 4.0), (3300000.0, 3.0)]",2.2065608501434326,1.8450000000000002,29.72941687992573,32.096231
203,"[(3401000.0, 4.0), (3300000.0, 4.0)]",1.8045244216918945,2.023,28.027363146669863,29.183885
204,"[(3401000.0, 4.0), (3100000.0, 1.0)]",2.724064826965332,2.16,30.543564055674075,32.05369
